YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,ALLSKY_KT
2010,7,1,10,457.36,10.27,0.69
2010,7,1,11,524.62,12.34,0.72
2010,7,1,12,499.64,13.51,0.69
2010,7,1,13,413.68,14.1,0.62
2010,7,1,14,326.78,14.27,0.62
2010,7,1,15,162.74,13.9,0.48
2010,7,1,16,38.12,12.79,0.37
2010,7,1,17,0.0,12.16,-999.0
2010,7,1,18,0.0,11.19,-999.0
2010,7,1,19,0.0,10.1,-999.0
2010,7,1,20,0.0,8.89,-999.0
2010,7,1,21,0.0,8.09,-999.0
2010,7,1,22,0.0,7.44,-999.0
2010,7,1,23,0.0,6.83,-999.0
2010,7,2,0,0.0,6.16,-999.0
2010,7,2,1,0.0,5.73,-999.0
2010,7,2,2,0.0,4.97,-999.0
2010,7,2,3,0.0,4.51,-999.0
2010,7,2,4,0.0,4.62,-999.0
2010,7,2,5,0.0,4.58,-999.0
2010,7,2,6,0.0,4.37,-999.0
2010,7,2,7,29.89,4.65,0.25
2010,7,2,8,109.07,6.0,0.31
2010,7,2,9,194.45,7.69,0.36
2010,7,2,10,261.77,9.63,0.39
2010,7,2,11,223.55,11.23,0.3
2010,7,2,12,181.3,11.78,0.25
2010,7,2,13,174.87,11.75,0.27
2010,7,2,14,98.56,11.54,0.19
2010,7,2,15,64.43,11.03,0.2
2010,7,2,16,22.4,9.9,0.21
2010,7,2,17,0.0,8.6,-999.0
2010,7,2,18,0.0,8.12,-999.0
2010,7,2,19,0.0,7.9,-999.0
2010,7,2,20,0.0,7.55,-999.0
2010,7,2,21,0.0,7.3,-999.0
2010,7,2,22,0.0,6.85,-999.0
2010,7,2,23,0.0,6.55,-999.0
2010,7,3,0,0.0,6.34,-999.0
2010,7,3,1,0.0,6.25,-999.0
2010,7,3,2,0.0,6.2,-999.0
2010,7,3,3,0.0,6.12,-999.0
2010,7,3,4,0.0,6.04,-999.0
2010,7,3,5,0.0,5.86,-999.0
2010,7,3,6,0.0,5.48,-999.0
2010,7,3,7,47.64,5.52,0.39
2010,7,3,8,177.81,7.01,0.51
2010,7,3,9,308.79,9.06,0.58
2010,7,3,10,401.5,11.05,0.6
2010,7,3,11,489.48,12.42,0.66
2010,7,3,12,508.98,13.19,0.7
2010,7,3,13,463.89,13.55,0.7
2010,7,3,14,344.3,13.49,0.66
2010,7,3,15,198.93,12.88,0.59
2010,7,3,16,48.56,10.98,0.45
2010,7,3,17,0.0,8.81,-999.0
2010,7,3,18,0.0,7.62,-999.0
2010,7,3,19,0.0,6.89,-999.0
2010,7,3,20,0.0,6.52,-999.0
2010,7,3,21,0.0,6.48,-999.0
2010,7,3,22,0.0,6.08,-999.0
2010,7,3,23,0.0,5.44,-999.0
2010,7,4,0,0.0,4.82,-999.0
2010,7,4,1,0.0,4.58,-999.0
2010,7,4,2,0.0,4.51,-999.0
2010,7,4,3,0.0,4.75,-999.0
2010,7,4,4,0.0,4.73,-999.0
2010,7,4,5,0.0,4.51,-999.0
2010,7,4,6,0.0,4.12,-999.0
2010,7,4,7,34.2,4.22,0.28
2010,7,4,8,119.54,6.14,0.34
2010,7,4,9,201.55,8.98,0.38
2010,7,4,10,276.99,11.73,0.41
2010,7,4,11,301.11,13.8,0.41
2010,7,4,12,338.69,14.83,0.46
2010,7,4,13,341.27,15.2,0.52
