YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,ALLSKY_KT
2010,7,1,10,457.36,12.73,0.69
2010,7,1,11,524.62,13.72,0.72
2010,7,1,12,499.64,14.34,0.69
2010,7,1,13,413.68,14.66,0.62
2010,7,1,14,326.78,14.82,0.62
2010,7,1,15,162.74,14.78,0.48
2010,7,1,16,38.12,14.51,0.37
2010,7,1,17,0.0,14.57,-999.0
2010,7,1,18,0.0,14.69,-999.0
2010,7,1,19,0.0,14.48,-999.0
2010,7,1,20,0.0,14.15,-999.0
2010,7,1,21,0.0,13.83,-999.0
2010,7,1,22,0.0,13.42,-999.0
2010,7,1,23,0.0,12.94,-999.0
2010,7,2,0,0.0,12.45,-999.0
2010,7,2,1,0.0,12.01,-999.0
2010,7,2,2,0.0,11.48,-999.0
2010,7,2,3,0.0,10.99,-999.0
2010,7,2,4,0.0,10.73,-999.0
2010,7,2,5,0.0,10.6,-999.0
2010,7,2,6,0.0,10.55,-999.0
2010,7,2,7,29.89,10.73,0.25
2010,7,2,8,109.07,11.32,0.31
2010,7,2,9,194.45,11.98,0.36
2010,7,2,10,261.77,12.64,0.39
2010,7,2,11,223.55,13.3,0.3
2010,7,2,12,181.3,13.76,0.25
2010,7,2,13,174.87,13.97,0.27
2010,7,2,14,98.56,13.83,0.19
2010,7,2,15,64.43,13.43,0.2
2010,7,2,16,22.4,12.83,0.21
2010,7,2,17,0.0,12.27,-999.0
2010,7,2,18,0.0,12.1,-999.0
2010,7,2,19,0.0,12.1,-999.0
2010,7,2,20,0.0,11.84,-999.0
2010,7,2,21,0.0,11.64,-999.0
2010,7,2,22,0.0,11.6,-999.0
2010,7,2,23,0.0,11.29,-999.0
2010,7,3,0,0.0,10.92,-999.0
2010,7,3,1,0.0,10.69,-999.0
2010,7,3,2,0.0,10.47,-999.0
2010,7,3,3,0.0,10.32,-999.0
2010,7,3,4,0.0,10.27,-999.0
2010,7,3,5,0.0,10.23,-999.0
2010,7,3,6,0.0,10.25,-999.0
2010,7,3,7,47.64,10.4,0.39
2010,7,3,8,177.81,11.15,0.51
2010,7,3,9,308.79,12.15,0.58
2010,7,3,10,401.5,13.18,0.6
2010,7,3,11,489.48,14.01,0.66
2010,7,3,12,508.98,14.51,0.7
2010,7,3,13,463.89,14.83,0.7
2010,7,3,14,344.3,14.94,0.66
2010,7,3,15,198.93,14.82,0.59
2010,7,3,16,48.56,14.31,0.45
2010,7,3,17,0.0,13.67,-999.0
2010,7,3,18,0.0,13.37,-999.0
2010,7,3,19,0.0,13.24,-999.0
2010,7,3,20,0.0,13.19,-999.0
2010,7,3,21,0.0,13.15,-999.0
2010,7,3,22,0.0,13.12,-999.0
2010,7,3,23,0.0,13.24,-999.0
2010,7,4,0,0.0,13.46,-999.0
2010,7,4,1,0.0,13.65,-999.0
2010,7,4,2,0.0,13.64,-999.0
2010,7,4,3,0.0,13.59,-999.0
2010,7,4,4,0.0,13.49,-999.0
2010,7,4,5,0.0,13.37,-999.0
2010,7,4,6,0.0,13.09,-999.0
2010,7,4,7,34.2,13.06,0.28
2010,7,4,8,119.54,13.66,0.34
